gene	chr	tx_start	tx_end	strand
NFAT5	16	69598997	69738553	+
NFATC1	18	77155772	77289322	+
NFATC2	20	50007766	50179168	-
NFATC2IP	16	28962318	28977765	+
NFATC3	16	68119375	68260837	+
NFATC4	14	24836145	24848808	+
NFE2	12	54685898	54694791	-
NFE2L1	17	46125686	46138906	+
NFE2L2	2	178095034	178129859	-
NFE2L3	7	26191847	26226754	+
NFIA	1	61542946	61928459	+
NFIB	9	14081848	14313945	-
NFIC	19	3359616	3463602	+
NFIL3	9	94171329	94186144	-
NFIX	19	13106584	13209609	+
NFKB1	4	103422486	103538458	+
NFKB2	10	104154229	104162280	+
NFKBIA	14	35870717	35873960	-
NFKBIB	19	39390615	39399533	+
NFKBID	19	36379143	36391552	-
NFKBIE	6	44225903	44233525	-
NFKBIL1	6	31514628	31526605	+
NFKBIL2	8	145654165	145669812	-
NFKBIZ	3	101546857	101579865	+
NFRKB	11	129733671	129765490	-
NFS1	20	34256611	34287274	-
NFU1	2	69623255	69664753	-
NFX1	9	33290510	33371154	+
NFXL1	4	47849260	47916633	-
NFYA	6	41040707	41070145	+
NFYB	12	104510858	104532040	-
NFYC	1	41157242	41237273	+
NGB	14	77731834	77737655	-
NGDN	14	23938898	23947401	+
NGEF	2	233743396	233877951	-
NGF	1	115828537	115880857	-
NGFR	17	47572655	47592382	+
NGFRAP1	23	102631268	102632999	+
NGLY1	3	25760436	25831530	-
NGRN	15	90808895	90815443	+
NHEDC1	4	103806209	103940876	-
NHEDC2	4	103946654	103998170	-
NHEJ1	2	219940051	220025587	-
NHLH1	1	160336861	160342638	+
NHLH2	1	116379001	116383747	-
NHLRC1	6	18120718	18122851	-
NHLRC2	10	115614420	115668452	+
NHLRC3	13	39612455	39624242	+
NHLRC4	16	617032	619494	+
NHP2	5	177576465	177580961	-
NHP2L1	22	42069938	42084913	-
NHS	23	17393543	17754111	+
NHSL1	6	138743183	138893668	-
NHSL2	23	71130938	71363422	+
NICN1	3	49459766	49466757	-
NID1	1	236139141	236228481	-
NID2	14	52471521	52535946	-
NIF3L1	2	201754050	201768655	+
NIN	14	51186482	51297839	-
NINJ1	9	95883772	95896570	-
NINJ2	12	673463	772755	-
NINL	20	25433338	25566153	-
NIP7	16	69373546	69377007	+
NIPA1	15	23043281	23086843	-
NIPA2	15	23004684	23034427	-
NIPAL1	4	48018791	48039078	+
NIPAL2	8	99204387	99306621	-
NIPAL3	1	24742245	24799472	+
NIPAL4	5	156887027	156901729	+
NIPBL	5	36876861	37065920	+
NIPSNAP1	22	29950800	29977144	-
NIPSNAP3A	9	107509969	107522403	+
NIPSNAP3B	9	107526451	107536290	+
NISCH	3	52489524	52527087	+
NIT1	1	161087862	161095233	+
NIT2	3	100053562	100074477	+
NKAIN1	1	31652593	31712734	-
NKAIN2	6	124125069	125146784	+
NKAIN3	8	63161501	63903627	+
NKAIN4	20	61872137	61885892	-
NKAP	23	119059014	119077735	-
NKAPL	6	28227098	28228735	+
NKD1	16	50582241	50668641	+
NKD2	5	1009168	1038925	+
NKG7	19	51874876	51875960	-
NKIRAS1	3	23933574	23958537	-
NKIRAS2	17	40169594	40177654	+
NKPD1	19	45653009	45663408	-
NKRF	23	118722302	118739846	-
NKTR	3	42642147	42690232	+
NKX1-2	10	126135999	126138550	-
NKX2-1	14	36985606	36989430	-
NKX2-2	20	21491664	21494664	-
NKX2-3	10	101292690	101296278	+
NKX2-4	20	21376007	21378047	-
NKX2-5	5	172659107	172662315	-
NKX2-6	8	23559965	23563922	-
NKX2-8	14	37049217	37051786	-
NKX3-1	8	23536207	23540450	-
NKX3-2	4	13542454	13546114	-
NKX6-1	4	85414436	85419387	-
NKX6-2	10	134598320	134599537	-
NKX6-3	8	41503829	41504878	-
NLE1	17	33458368	33469322	-
NLGN1	3	173116244	174001116	+
NLGN2	17	7311502	7323179	+
NLGN3	23	70364681	70391049	+
NLGN4X	23	5808084	6146706	-
NLGN4Y	24	16635626	16955848	+
NLK	17	26369688	26523402	+
NLN	5	65018023	65125109	+
NLRC3	16	3589038	3627392	-
NLRC4	2	32449518	32490801	-
NLRC5	16	57023410	57117436	+
NLRP1	17	5404719	5487832	-
NLRP10	11	7981156	7985059	-
NLRP11	19	56296770	56348128	-
NLRP12	19	54296857	54327648	-
NLRP13	19	56407313	56443702	-
NLRP14	11	7041700	7092757	+
NLRP2	19	55476652	55512508	+
NLRP3	1	247579458	247612404	+
NLRP4	19	56347944	56393218	+
NLRP5	19	56511092	56573172	+
NLRP6	11	278570	285303	+
NLRP7	19	55434878	55458873	-
NLRP8	19	56459198	56499994	+
NLRP9	19	56219799	56249768	-
NLRX1	11	119039440	119054723	+
NMB	15	85198362	85201802	-
NMBR	6	142396746	142409936	-
NMD3	3	160939099	160969795	+
NME1	17	49230920	49239450	+
NME1-NME2	17	49230920	49249104	+
NME2	17	49242891	49249104	+
NME3	16	1820322	1821710	-
NME4	16	447192	450753	+
NME5	5	137450862	137475132	-
NME6	3	48335591	48342848	-
NME7	1	169101771	169337186	-
NMI	2	152126982	152146430	-
NMNAT1	1	10003486	10045555	+
NMNAT2	1	183217379	183387737	-
NMNAT3	3	139279041	139396840	-
NMRAL1	16	4511696	4524896	-
NMS	2	101086944	101099742	+
NMT1	17	43138680	43186380	+
NMT2	10	15147771	15210695	-
NMU	4	56461405	56502465	-
NMUR1	2	232387872	232395182	-
NMUR2	5	151771102	151784840	-
NNAT	20	36149607	36152088	+
NNMT	11	114166535	114183238	+
NNT	5	43602791	43705667	+
NOB1	16	69775775	69788829	-
NOBOX	7	144094333	144100786	-
NOC2L	1	879584	894679	-
NOC3L	10	96092989	96122683	-
NOC4L	12	132628993	132636986	+
NOD1	7	30464144	30518393	-
NOD2	16	50731050	50766987	+
NODAL	10	72191692	72201465	-
NOG	17	54671060	54672951	+
NOL10	2	10710894	10830112	-
NOL11	17	65714061	65740266	+
NOL12	22	38082344	38089484	+
NOL3	16	67204405	67209643	+
NOL4	18	31431070	31803446	-
NOL6	9	33461352	33473941	-
NOL7	6	13615559	13621126	+
NOL8	9	95059641	95087876	-
NOL9	1	6581409	6614658	-
NOLC1	10	103911933	103923627	+
NOM1	7	156742417	156765875	+
NOMO1	16	14927643	14990013	+
NOMO2	16	18511183	18573434	-
NOMO3	16	16326389	16388667	+
NONO	23	70503042	70521016	+
NOP10	15	34633917	34635362	-
NOP14	4	2939664	2965118	-
NOP16	5	175811233	175815540	-
NOP2	12	6666037	6677480	-
NOP56	20	2633254	2639038	+
NOP58	2	203130515	203168382	+
NOS1	12	117650979	117799582	-
NOS1AP	1	162039581	162339813	+
NOS2	17	26083793	26127555	-
NOS3	7	150688144	150711686	+
NOSIP	19	50058970	50083803	-
NOSTRIN	2	169643049	169721849	+
NOTCH1	9	139388897	139440238	-
NOTCH2	1	120454178	120612276	-
NOTCH2NL	1	145209111	145285911	+
NOTCH3	19	15270445	15311792	-
NOTCH4	6	32162621	32191844	-
NOTO	2	73429386	73438339	+
NOTUM	17	79910384	79919057	-
NOV	8	120428552	120436678	+
NOVA1	14	26915090	27066960	-
NOVA2	19	46442771	46476657	-
NOX1	23	100098314	100129334	-
NOX3	6	155716503	155777037	-
NOX4	11	89057524	89322779	-
NOX5	15	69222839	69349500	+
NOXA1	9	140317847	140328857	+
NOXO1	16	2028919	2031440	-
NPAS1	19	47524143	47549016	+
NPAS2	2	101436613	101613287	+
NPAS3	14	33408459	34273381	+
NPAS4	11	66188475	66194177	+
NPAT	11	108028121	108093365	-
NPB	17	79860072	79860780	+
NPBWR1	8	53852468	53853453	+
NPBWR2	20	62737184	62738184	-
NPC1	18	21111464	21166581	-
NPC1L1	7	44552136	44580914	-
NPC2	14	74946644	74960084	-
NPDC1	9	139933909	139940676	-
NPEPL1	20	57267862	57290899	+
NPEPPS	17	45608444	45700641	+
NPFF	12	53900474	53901422	-
NPFFR1	10	72014714	72043440	-
NPFFR2	4	72897521	73013918	+
NPHP1	2	110880916	110962639	-
NPHP3	3	132399454	132441276	-
NPHP4	1	5922870	6052531	-
NPHS1	19	36316274	36342895	-
NPHS2	1	179519677	179545084	-
NPIP	16	15031300	15045930	+
NPIPL3	16	21413456	21436658	-
NPL	1	182761394	182798588	+
NPLOC4	17	79523915	79604138	-
NPM1	5	170814708	170837887	+
NPM2	8	21882354	21894407	+
NPM3	10	103541083	103543170	-
NPNT	4	106816597	106892827	+
NPPA	1	11905769	11907840	-
NPPB	1	11917522	11918992	-
NPPC	2	232790135	232790959	-
NPR1	1	153651164	153666467	+
NPR2	9	35792406	35809727	+
NPR3	5	32711665	32787252	+
NPRL2	3	50384919	50388486	-
NPRL3	16	135806	188672	-
NPS	10	129347613	129350935	+
NPSR1	7	34697897	34917944	+
NPTN	15	73852345	73925753	-
NPTX1	17	78440633	78450404	-
NPTX2	7	98246597	98259181	+
NPTXR	22	39214458	39240017	-
NPVF	7	25264193	25268105	-
NPW	16	2069521	2070755	+
NPY	7	24323807	24331484	+
NPY1R	4	164245117	164253748	-
NPY2R	4	156129781	156138226	+
NPY5R	4	164265091	164273084	+
NQO1	16	69743305	69760533	-
NQO2	6	3000067	3019994	+
NR0B1	23	30322540	30327495	-
NR0B2	1	27237976	27240567	-
NR1D1	17	38249041	38256973	-
NR1D2	3	23986751	24022109	+
NR1H2	19	50879685	50886266	+
NR1H3	11	47270449	47290400	+
NR1H4	12	100867679	100957643	+
NR1I2	3	119499331	119537331	+
NR1I3	1	161199458	161208000	-
NR2C1	12	95414060	95467404	-
NR2C2	3	14989236	15090778	+
NR2C2AP	19	19312226	19314238	-
NR2E1	6	108487215	108510011	+
NR2E3	15	72102894	72110595	+
NR2F1	5	92919043	92929778	+
NR2F2	15	96869157	96883490	+
NR2F6	19	17342695	17356151	-
NR3C1	5	142657497	142815077	-
NR3C2	4	148999916	149363672	-
NR4A1	12	52445191	52453285	+
NR4A2	2	157180946	157189287	-
NR4A3	9	102584137	102629173	+
NR5A1	9	127243515	127269699	-
NR5A2	1	199996770	200146548	+
NR6A1	9	127284703	127533576	-
NRAP	10	115348584	115423805	-
NRARP	9	140194083	140196703	-
NRAS	1	115247079	115259515	-
NRBF2	10	64893007	64914785	+
NRBP1	2	27651473	27665122	+
NRBP2	8	144915756	144923146	-
NRCAM	7	107788084	108096826	-
NRD1	1	52254868	52344609	-
NRF1	7	129251555	129396920	+
NRG1	8	31497268	32622558	+
NRG2	5	139226364	139422884	-
NRG3	10	83635070	84746935	+
NRG4	15	76234330	76304785	-
NRGN	11	124609829	124617102	+
NRIP1	21	16333556	16437126	-
NRIP2	12	2934515	2944221	-
NRIP3	11	9002123	9025596	-
NRK	23	105066536	105202596	+
NRL	14	24549317	24553832	-
NRM	6	30655827	30658769	-
NRN1	6	5998235	6007633	-
NRN1L	16	67918781	67920270	+
NRP1	10	33466420	33623833	-
NRP2	2	206547224	206662856	+
NRSN1	6	24126414	24147757	+
NRSN2	20	327370	335511	+
NRTN	19	5823818	5828334	+
NRXN1	2	50145644	51259674	-
NRXN2	11	64373648	64490660	-
NRXN3	14	78870093	80330758	+
NSA2	5	74063103	74072734	+
NSD1	5	176560080	176727213	+
NSDHL	23	151999511	152037907	+
NSF	17	44668038	44834833	+
NSFL1C	20	1422813	1448417	-
NSL1	1	212899496	212965139	-
NSMAF	8	59496066	59572404	-
NSMCE1	16	27236315	27280113	-
NSMCE2	8	126104083	126379367	+
NSMCE4A	10	123716609	123734743	-
NSUN2	5	6599355	6633157	-
NSUN3	3	93781855	93845630	+
NSUN4	1	46806390	46830690	+
NSUN5	7	72716514	72722864	-
NSUN6	10	18834264	18940550	-
NSUN7	4	40751914	40812000	+
NT5C	17	73126324	73127877	-
NT5C1A	1	40124793	40137710	-
NT5C1B	2	18744138	18770838	-
NT5C2	10	104845940	104953056	-
NT5C3	7	33053744	33102409	-
NT5C3L	17	39981335	39992523	-
NT5DC1	6	116421999	116566852	+
NT5DC2	3	52558386	52569093	-
NT5DC3	12	104166081	104234975	-
NT5E	6	86159302	86205496	+
NT5M	17	17206680	17250975	+
NTAN1	16	15131717	15149833	-
NTF3	12	5541280	5604463	+
NTF4	19	49564399	49567124	-
NTHL1	16	2089816	2097867	-
NTM	11	131240371	132206715	+
NTN1	17	8924859	9147316	+
NTN3	16	2521500	2524145	+
NTN4	12	96051584	96184536	-
NTN5	19	49164666	49176264	-
NTNG1	1	107682629	108024471	+
NTNG2	9	135037334	135118220	+
NTRK1	1	156785542	156851642	+
NTRK2	9	87283466	87638505	+
NTRK3	15	88419988	88799661	-
NTS	12	86268075	86276763	+
NTSR1	20	61340189	61394122	+
NTSR2	2	11798305	11810329	-
NUAK1	12	106457125	106533811	-
NUAK2	1	205271193	205290883	-
NUB1	7	151038858	151075530	+
NUBP1	16	10837698	10863208	+
NUBP2	16	1832933	1839191	+
NUBPL	14	32030591	32330417	+
NUCB1	19	49403307	49426539	+
NUCB2	11	17298286	17353069	+
NUCKS1	1	205681947	205719361	-
NUDC	1	27248224	27272887	+
NUDCD1	8	110253149	110346350	-
NUDCD2	5	162880587	162887143	-
NUDCD3	7	44421967	44530385	-
NUDT1	7	2281857	2290780	+
NUDT10	23	51075083	51080369	+
NUDT11	23	51232872	51239459	-
NUDT12	5	102884557	102898490	-
NUDT13	10	74870210	74891580	+
NUDT14	14	105639277	105647660	-
NUDT15	13	48611703	48621282	+
NUDT16	3	131100515	131107673	+
NUDT16L1	16	4743716	4745846	+
NUDT17	1	145586494	145589435	-
NUDT18	8	21964383	21966932	-
NUDT19	19	33182867	33204701	+
NUDT2	9	34329504	34343695	+
NUDT21	16	56463049	56485261	-
NUDT22	11	63993738	63997487	+
NUDT3	6	34256002	34360441	-
NUDT4	12	93771701	93797022	+
NUDT5	10	12209574	12238143	-
NUDT6	4	123813805	123844123	-
NUDT7	16	77756411	77776153	+
NUDT8	11	67395410	67397401	-
NUDT9	4	88343735	88379497	+
NUF2	1	163291723	163325553	+
NUFIP1	13	45513384	45563613	-
NUFIP2	17	27582855	27621166	-
NUMA1	11	71713911	71791573	-
NUMB	14	73741918	73925286	-
NUMBL	19	41171814	41196556	-
NUP107	12	69080731	69136472	+
NUP133	1	229577045	229644088	-
NUP153	6	17615269	17706818	-
NUP155	5	37291941	37371197	-
NUP160	11	47799671	47870057	-
NUP188	9	131709977	131769374	+
NUP205	7	135242662	135333489	+
NUP210	3	13357737	13461809	-
NUP210L	1	153965170	154127592	-
NUP214	9	134000981	134109090	+
NUP35	2	183989083	184026407	+
NUP37	12	102467975	102512361	-
NUP43	6	150045459	150067688	-
NUP50	22	45559726	45583888	+
NUP54	4	77035818	77069655	-
NUP62	19	50410086	50432786	-
NUP62CL	23	106366658	106449670	-
NUP85	17	73201597	73231854	+
NUP88	17	5289420	5322996	-
NUP93	16	56764017	56878676	+
NUP98	11	3696241	3819022	-
NUPL1	13	25875666	25916560	+
NUPL2	7	23221446	23240629	+
NUPR1	16	28548662	28550495	-
NUS1	6	117996617	118031884	+
NUSAP1	15	41624926	41673247	+
NUTF2	16	67880819	67905218	+
NVL	1	224415037	224517872	-
NWD1	19	16830787	16928773	+
NXF1	11	62559598	62572964	-
NXF2	23	101470280	101726732	+/-
NXF2B	23	101470280	101726732	+/-
NXF3	23	102330752	102348022	-
NXF5	23	101087085	101112549	-
NXN	17	702586	883010	-
NXNL1	19	17566236	17571725	-
NXNL2	9	91150016	91190703	+
NXPH1	7	8473585	8792592	+
NXPH2	2	139426729	139537811	-
NXPH3	17	47653298	47661169	+
NXPH4	12	57610578	57620231	+
NXT1	20	23331373	23335408	+
NXT2	23	108779010	108787913	+
NYNRIN	14	24867992	24888493	+
NYX	23	41306713	41334905	+
OAF	11	120081747	120100649	+
OAS1	12	113344739	113357711	+
OAS2	12	113416274	113449527	+
OAS3	12	113376249	113411052	+
OASL	12	121458095	121476780	-
OAT	10	126085872	126107545	-
OAZ1	19	2269520	2273486	+
OAZ2	15	64979773	64995462	-
OAZ3	1	151735445	151743805	+
OBFC1	10	105637320	105678045	-
OBFC2A	2	192542861	192553247	+
OBFC2B	12	56618125	56623637	+
OBP2A	9	138437985	138441814	+
OBP2B	9	136080667	136084628	-
OBSCN	1	228395861	228566575	+
OBSL1	2	220415451	220436268	-
OC90	8	133036467	133071627	-
OCA2	15	28000025	28344458	-
OCEL1	19	17337055	17340027	+
OCIAD1	4	48833060	48863833	+
OCIAD2	4	48887407	48908815	-
OCLM	1	186369704	186370586	+
OCLN	5	68788119	68850130	+
OCM	7	5920429	5925993	+
OCM2	7	97614015	97619416	-
OCRL	23	128674252	128726528	+
ODAM	4	71062244	71070292	+
ODC1	2	10580508	10588453	-
ODF1	8	103563848	103573245	+
ODF2	9	131218432	131263238	+
ODF2L	1	86812508	86862025	-
ODF3	11	196761	200256	+
ODF3B	22	50968838	50971008	-
ODF3L1	15	76016319	76020027	+
ODF3L2	19	463347	474983	-
ODF4	17	8243188	8249363	+
ODZ1	23	123509757	124097666	-
ODZ2	5	166711843	167691161	+
ODZ3	4	183245137	183724177	+
ODZ4	11	78364329	79151695	-
OFD1	23	13752832	13787479	+
OGDH	7	44646121	44748668	+
OGDHL	10	50942688	50970425	-
OGFOD1	16	56485424	56511406	+
OGFOD2	12	123459354	123464588	+
OGFR	20	61436177	61445351	+
OGFRL1	6	71998477	72011971	+
OGG1	3	9791628	9808352	+
OGN	9	95146251	95166937	-
OGT	23	70752912	70795747	+
OIP5	15	41601468	41624819	-
OIT3	10	74653339	74692787	+
OLA1	2	174937176	175113365	-
OLAH	10	15085895	15115851	+
OLFM1	9	137967089	138013031	+
OLFM2	19	9964395	10047070	-
OLFM3	1	102268127	102462790	-
OLFM4	13	53602972	53626186	+
OLFML1	11	7506600	7532604	+
OLFML2A	9	127539437	127577157	+
OLFML2B	1	161952984	161993644	-
OLFML3	1	114522030	114524875	+
OLIG1	21	34442450	34444727	+
OLIG2	21	34398239	34401500	+
OLIG3	6	137813336	137815531	-
OLR1	12	10310899	10324790	-
OMA1	1	58946392	59012446	-
OMD	9	95176528	95186836	-
OMG	17	29621669	29624380	-
OMP	11	76813886	76814376	+
ONECUT1	15	53049353	53082209	-
ONECUT2	18	55102917	55158529	+
ONECUT3	19	1753662	1775443	+
OOEP	6	74078282	74079515	-
OPA1	3	193310933	193415599	+
OPA3	19	46031027	46088122	-
OPALIN	10	98102977	98119092	-
OPCML	11	132284877	133402403	-
OPHN1	23	67262188	67653299	-
OPLAH	8	145106167	145115584	-
OPN1LW	23	153409725	153424505	+
OPN1MW	23	153448085	153499469	+
OPN1MW2	23	153448085	153498753	+
OPN1SW	7	128412545	128415844	-
OPN3	1	241756453	241803701	-
OPN4	10	88414314	88426214	+
OPN5	6	47749798	47794114	+
OPRD1	1	29138654	29190208	+
OPRK1	8	54138276	54164194	-
OPRL1	20	62711488	62731991	+
OPRM1	6	154331636	154568001	+
OPTC	1	203463271	203478077	+
OPTN	10	13142082	13180276	+
OR10A2	11	6890986	6891897	+
OR10A3	11	7960124	7961067	-
OR10A4	11	6897856	6898850	+
OR10A5	11	6866914	6867867	+
OR10A6	11	7949266	7950209	-
OR10A7	12	55614809	55615758	+
OR10AD1	12	48596122	48597075	-
OR10AG1	11	55735035	55735939	-
OR10C1	6	29407793	29408730	+
OR10G2	14	22102067	22102998	-
OR10G3	14	22037935	22038875	-
OR10G4	11	123886282	123887215	+
OR10G7	11	123908773	123909708	-
OR10G8	11	123900330	123901265	+
OR10G9	11	123893720	123894653	+
OR10H1	19	15917817	15918936	-
OR10H2	19	15838834	15839862	+
OR10H3	19	15852203	15853151	+
OR10H4	19	16059818	16060767	+
OR10H5	19	15904859	15905805	+
OR10J1	1	159409512	159410599	+
OR10J3	1	159283462	159284449	-
OR10J5	1	159504870	159505797	-
OR10K1	1	158435352	158436291	+
OR10K2	1	158389720	158390656	-
OR10P1	12	56030676	56031616	+
OR10Q1	11	57995354	57996390	-
OR10R2	1	158449668	158450674	+
OR10S1	11	123847403	123848398	-
OR10T2	1	158368314	158369256	-
OR10V1	11	59480389	59481318	-
OR10W1	11	58034264	58035732	-
OR10X1	1	158548718	158549689	-
OR10Z1	1	158576229	158577169	+
OR11A1	6	29393282	29395509	-
OR11G2	14	20665495	20666530	+
OR11H1	22	16448826	16449804	-
OR11H12	14	19377594	19378572	+
OR11H4	14	20710951	20711924	+
OR11H6	14	20691869	20692860	+
OR11L1	1	248004230	248005198	-
OR12D2	6	29364416	29365447	+
OR12D3	6	29341201	29343068	-
OR13A1	10	45798102	45811056	-
OR13C2	9	107366953	107367908	-
OR13C3	9	107298051	107299094	-
OR13C4	9	107288536	107289490	-
OR13C5	9	107360740	107361694	-
OR13C8	9	107331449	107332410	+
OR13C9	9	107379530	107380485	-
OR13D1	9	107456703	107457742	+
OR13F1	9	107266544	107267501	+
OR13G1	1	247835420	247836343	-
OR13H1	23	130678048	130678973	+
OR13J1	9	35869461	35870398	-
OR14A16	1	247978102	247979031	-
OR14C36	1	248512077	248513013	+
OR14I1	1	248844670	248845605	-
OR14J1	6	29274467	29275431	+
OR1A1	17	3118915	3119842	+
OR1A2	17	3100813	3101742	+
OR1B1	9	125390859	125391814	-
OR1C1	1	247920766	247921708	-
OR1D2	17	2995353	2996290	-
OR1E1	17	3300760	3301704	-
OR1E2	17	3336165	3337135	-
OR1F1	16	3254247	3255184	+
OR1G1	17	3029904	3030845	-
OR1I1	19	15197877	15198942	+
OR1J1	9	125239238	125240205	-
OR1J2	9	125273081	125274021	+
OR1J4	9	125281420	125282360	+
OR1K1	9	125562402	125563351	+
OR1L1	9	125423995	125424925	+
OR1L3	9	125437409	125438382	+
OR1L4	9	125486269	125487204	+
OR1L6	9	125512127	125513060	+
OR1L8	9	125329827	125330756	-
OR1M1	19	9203921	9204861	+
OR1N1	9	125288637	125289572	-
OR1N2	9	125315449	125316440	+
OR1Q1	9	125377017	125377959	+
OR1S1	11	57982217	57983193	+
OR1S2	11	57970677	57971653	-
OR2A1	7	143929006	144016148	+/-
OR2A12	7	143792201	143793132	+
OR2A14	7	143826206	143827137	+
OR2A2	7	143806676	143807630	+
OR2A25	7	143771313	143772244	+
OR2A4	6	132021610	132022541	-
OR2A42	7	143929006	144016148	+/-
OR2A5	7	143747495	143748429	+
OR2A7	7	143955790	143956721	-
OR2AE1	7	99473685	99474656	-
OR2AG1	11	6806248	6807243	+
OR2AG2	11	6789238	6790188	-
OR2AK2	1	248128634	248129640	+
OR2AT4	11	74799797	74800758	-
OR2B11	1	247614332	247615284	-
OR2B2	6	27878963	27880174	-
OR2B3	6	29053986	29055090	-
OR2B6	6	27925019	27925958	+
OR2C1	16	3405889	3406924	+
OR2C3	1	247693435	247697141	-
OR2D2	11	6912806	6913731	-
OR2D3	11	6942233	6943224	+
OR2F1	7	143657020	143658108	+
OR2F2	7	143632326	143633278	+
OR2G2	1	247751662	247752614	+
OR2G3	1	247768888	247769816	+
OR2G6	1	248684948	248685898	+
OR2H1	6	29426230	29432097	+
OR2H2	6	29555683	29556745	+
OR2J2	6	29141311	29142350	+
OR2J3	6	29079668	29080602	+
OR2K2	9	114089764	114090713	-
OR2L13	1	248100493	248264223	+
OR2L2	1	248201474	248202606	+
OR2L3	1	248223984	248224922	+
OR2L8	1	248112160	248113098	+
OR2M2	1	248343288	248344329	+
OR2M3	1	248366370	248367307	+
OR2M4	1	248402231	248403165	+
OR2M5	1	248308450	248309387	+
OR2M7	1	248486933	248487870	-
OR2S2	9	35957106	35958151	-
OR2T1	1	248569296	248570404	+
OR2T10	1	248756132	248757069	-
OR2T11	1	248789479	248790429	-
OR2T12	1	248457919	248458880	-
OR2T2	1	248616099	248617073	+
OR2T27	1	248813233	248814185	-
OR2T29	1	248721845	248722774	-
OR2T3	1	248636652	248637608	+
OR2T33	1	248436155	248437116	-
OR2T34	1	248737102	248738058	-
OR2T35	1	248801588	248802559	-
OR2T4	1	248524883	248525929	+
OR2T5	1	248651890	248652837	+
OR2T6	1	248550910	248551836	+
OR2T8	1	248084320	248085256	+
OR2V2	5	180581943	180582889	+
OR2W1	6	29011990	29012952	-
OR2W3	1	248058889	248059831	+
OR2W5	1	247654370	247655710	+
OR2Y1	5	180166123	180167058	-
OR2Z1	19	8841391	8842334	+
OR3A1	17	3194929	3195876	-
OR3A2	17	3181185	3182268	-
OR3A3	17	3323862	3324826	+
OR4A15	11	55135360	55136393	+
OR4A16	11	55110677	55111661	+
OR4A47	11	48510345	48511272	+
OR4A5	11	51411378	51412448	-
OR4B1	11	48238362	48239290	+
OR4C11	11	55370919	55371849	-
OR4C12	11	50003009	50004071	-
OR4C13	11	49973943	49974971	+
OR4C15	11	55321783	55322893	+
OR4C16	11	55339604	55340534	+
OR4C3	11	48346493	48347480	+
OR4C45	11	48366902	48373999	-
OR4C46	11	51515282	51516209	+
OR4C6	11	55432643	55433570	+
OR4D1	17	56232515	56233445	+
OR4D10	11	59244903	59245838	+
OR4D11	11	59271049	59271984	+
OR4D2	17	56247017	56247939	+
OR4D5	11	123810324	123811280	+
OR4D6	11	59224434	59225377	+
OR4D9	11	59282386	59283328	+
OR4E2	14	22133297	22134236	+
OR4F15	15	102358390	102359326	+
OR4F16	5	180794288	180795224	+
OR4F17	19	110679	111596	+
OR4F21	8	116088	117024	-
OR4F29	5	180794288	180795224	+
OR4F3	5	180794288	180795224	+
OR4F4	15	102462345	102463262	-
OR4F5	1	69091	70008	+
OR4F6	15	102345923	102346859	+
OR4K1	14	20403767	20404842	+
OR4K13	14	20502005	20502917	-
OR4K14	14	20482421	20483352	-
OR4K15	14	20443678	20444722	+
OR4K17	14	20585566	20586597	+
OR4K2	14	20344427	20345371	+
OR4K5	14	20388766	20389735	+
OR4L1	14	20528204	20529142	+
OR4M1	14	20248482	20249422	+
OR4M2	15	22368478	22369561	+
OR4N2	14	20295608	20296530	+
OR4N4	15	22382473	22383422	+
OR4N5	14	20611895	20612820	+
OR4P4	11	55405834	55406771	+
OR4Q3	14	20215587	20216526	+
OR4S1	11	48327775	48328703	+
OR4S2	11	55418380	55419315	+
OR4X1	11	48285413	48286329	+
OR4X2	11	48266656	48267567	+
OR51A2	11	4976004	4976943	-
OR51A4	11	4967391	4968330	-
OR51A7	11	4928600	4929536	+
OR51B2	11	5344528	5345582	-
OR51B4	11	5322245	5323176	-
OR51B5	11	5363816	5364754	-
OR51B6	11	5372738	5373675	+
OR51D1	11	4660945	4662068	+
OR51E1	11	4665156	4676714	+
OR51E2	11	4701401	4719076	-
OR51F1	11	4790210	4791147	-
OR51F2	11	4842616	4843642	+
OR51G1	11	4944606	4945569	-
OR51G2	11	4935949	4936893	-
OR51I1	11	5461772	5462783	-
OR51I2	11	5474638	5475706	+
OR51L1	11	5020213	5021158	+
OR51M1	11	5410607	5411664	+
OR51Q1	11	5443341	5444436	+
OR51S1	11	4869468	4870438	-
OR51T1	11	4903049	4904112	+
OR51V1	11	5220966	5221930	-
OR52A1	11	5172663	5173599	-
OR52A4	11	5141852	5142847	-
OR52A5	11	5152923	5153872	-
OR52B2	11	6190586	6191556	-
OR52B4	11	4388493	4389616	-
OR52B6	11	5602107	5603112	+
OR52D1	11	5509915	5510976	+
OR52E2	11	5079881	5080857	-
OR52E4	11	5905523	5906459	+
OR52E6	11	5862188	5863127	-
OR52E8	11	5877981	5878932	-
OR52H1	11	5565792	5566753	-
OR52I1	11	4615269	4616242	+
OR52I2	11	4608021	4609135	+
OR52J3	11	5067756	5068682	+
OR52K1	11	4510109	4511138	+
OR52K2	11	4470525	4471591	+
OR52L1	11	6007122	6008215	-
OR52M1	11	4566421	4567373	+
OR52N1	11	5809085	5810046	-
OR52N2	11	5841566	5842530	+
OR52N4	11	5775923	5776958	+
OR52N5	11	5798866	5799897	-
OR52R1	11	4824664	4825610	-
OR52W1	11	6220454	6221414	+
OR56A1	11	6047902	6048971	-
